10			0.0352  		0.0284  		-0.3066 
20			0.0284  		0.0341  		-0.0217 
30			0.0341  		0.0370  		0.0249  
40			0.0370  		0.0293  		-0.0656 
50			0.0293  		0.0308  		-0.0379 
60			0.0308  		0.0360  		0.0054  
70			0.0360  		0.0296  		-0.0356 
80			0.0296  		0.0317  		-0.0189 
90			0.0317  		0.0378  		0.0115  
100			0.0378  		0.0322  		-0.0126 
110			0.0322  		0.0289  		-0.0255 
120			0.0289  		0.0360  		0.0030  
130			0.0360  		0.0322  		-0.0098 
140			0.0322  		0.0294  		-0.0184 
150			0.0294  		0.0369  		0.0047  
160			0.0369  		0.0349  		-0.0007 
170			0.0349  		0.0279  		-0.0197 
180			0.0279  		0.0343  		-0.0019 
190			0.0343  		0.0345  		-0.0014 
200			0.0345  		0.0284  		-0.0153 
210			0.0284  		0.0350  		-0.0002 
220			0.0350  		0.0370  		0.0033  
230			0.0370  		0.0291  		-0.0119 
240			0.0291  		0.0320  		-0.0056 
250			0.0320  		0.0361  		0.0016  
260			0.0361  		0.0293  		-0.0101 
270			0.0293  		0.0325  		-0.0042 
280			0.0325  		0.0379  		0.0039  
290			0.0379  		0.0315  		-0.0055 
300			0.0315  		0.0295  		-0.0085 
310			0.0295  		0.0363  		0.0015  
320			0.0363  		0.0315  		-0.0049 
330			0.0315  		0.0301  		-0.0068 
340			0.0301  		0.0375  		0.0027  
350			0.0375  		0.0343  		-0.0010 
360			0.0343  		0.0281  		-0.0090 
370			0.0281  		0.0351  		-0.0001 
380			0.0351  		0.0341  		-0.0012 
390			0.0341  		0.0286  		-0.0076 
400			0.0286  		0.0358  		0.0006  
410			0.0358  		0.0366  		0.0014  
420			0.0366  		0.0287  		-0.0070 
430			0.0287  		0.0328  		-0.0023 
440			0.0328  		0.0359  		0.0007  
450			0.0359  		0.0290  		-0.0062 
460			0.0290  		0.0336  		-0.0015 
470			0.0336  		0.0382  		0.0026  
480			0.0382  		0.0313  		-0.0035 
490			0.0313  		0.0307  		-0.0040 
500			0.0307  		0.0368  		0.0013  
510			0.0368  		0.0310  		-0.0036 
520			0.0310  		0.0308  		-0.0037 
530			0.0308  		0.0378  		0.0020  
540			0.0378  		0.0337  		-0.0011 
550			0.0337  		0.0284  		-0.0056 
560			0.0284  		0.0356  		0.0003  
570			0.0356  		0.0333  		-0.0013 
580			0.0333  		0.0288  		-0.0050 
590			0.0288  		0.0364  		0.0009  
600			0.0364  		0.0361  		0.0007  
610			0.0361  		0.0285  		-0.0050 
620			0.0285  		0.0336  		-0.0011 
630			0.0336  		0.0354  		0.0002  
640			0.0354  		0.0285  		-0.0047 
650			0.0285  		0.0337  		-0.0009 
660			0.0337  		0.0372  		0.0012  
670			0.0372  		0.0297  		-0.0036 
680			0.0297  		0.0304  		-0.0031 
690			0.0304  		0.0360  		0.0005  
700			0.0360  		0.0299  		-0.0033 
